n 93651 m 157137
v 0 22 1
v 1 25 2
v 2 22 4
v 3 22 5
v 4 25 2
v 5 25 3
v 6 29 6
v 7 28 4
v 8 32 10
v 9 26 5
v 10 30 8
v 11 31 6
v 12 27 3
v 13 25 15
v 14 33 15
v 15 22 6
v 16 28 18
v 17 29 10
v 18 29 2
v 19 32 14
v 20 39 5
v 21 45 22
v 22 34 10
v 23 22 19
v 24 43 21
v 25 48 18
v 26 35 10
v 27 25 27
v 28 22 21
v 29 23 21
v 30 37 16
v 31 34 5
v 32 39 21
v 33 44 34
v 34 59 16
v 35 37 13
v 36 47 23
v 37 40 26
v 38 36 33
v 39 27 17
v 40 34 8
v 41 30 7
v 42 52 1
v 43 38 5
v 44 53 3
v 45 40 48
v 46 40 27
v 47 56 11
v 48 68 40
v 49 33 49
v 50 47 31
v 51 53 21
v 52 77 42
v 53 56 27
v 54 34 58
v 55 72 45
v 56 48 28
v 57 77 63
v 58 71 41
v 59 75 53
v 60 29 27
v 61 79 44
v 62 66 16
v 63 27 32
v 64 30 34
v 65 38 40
v 66 39 51
v 67 23 21
v 68 30 32
v 69 38 72
v 70 60 22
v 71 51 27
v 72 57 57
v 73 30 31
v 74 33 80
v 75 87 57
v 76 35 13
v 77 83 75
v 78 38 12
v 79 49 62
v 80 95 48
v 81 74 53
v 82 33 56
v 83 62 74
v 84 70 31
v 85 56 28
v 86 24 32
v 87 68 74
v 88 35 84
v 89 66 69
v 90 89 17
v 91 113 90
v 92 29 76
v 93 100 22
v 94 35 45
v 95 116 2
v 96 71 36
v 97 90 39
v 98 61 72
v 99 33 1
v 100 50 93
v 101 44 17
v 102 80 70
v 103 122 81
v 104 25 30
v 105 102 5
v 106 103 79
v 107 76 62
v 108 92 22
v 109 45 31
v 110 40 2
v 111 37 53
v 112 58 23
v 113 125 98
v 114 58 80
v 115 132 40
v 116 77 107
v 117 137 54
v 118 149 76
v 119 103 59
v 120 64 12
v 121 153 91
v 122 98 75
v 123 44 86
v 124 80 16
v 125 110 17
v 126 28 32
v 127 156 113
v 128 158 121
v 129 91 26
v 130 51 39
v 131 88 95
v 132 96 43
v 133 104 25
v 134 116 135
v 135 148 136
v 136 145 89
v 137 122 71
v 138 93 69
v 139 81 38
v 140 68 37
v 141 166 54
v 142 90 36
v 143 171 80
v 144 178 142
v 145 61 114
v 146 52 119
v 147 157 151
v 148 39 5
v 149 154 21
v 150 30 103
v 151 34 127
v 152 23 145
v 153 187 140
v 154 64 44
v 155 75 124
v 156 164 139
v 157 106 31
v 158 36 89
v 159 22 1
v 160 23 1
v 161 22 2
v 162 25 2
v 163 26 5
v 164 22 2
v 165 29 2
v 166 29 1
v 167 29 8
v 168 24 12
v 169 22 5
v 170 26 1
v 171 27 7
v 172 38 7
v 173 24 7
v 174 36 3
v 175 32 13
v 176 31 14
v 177 29 11
v 178 22 19
v 179 39 3
v 180 37 24
v 181 22 25
v 182 34 18
v 183 26 12
v 184 28 10
v 185 26 15
v 186 52 14
v 187 27 1
v 188 33 29
v 189 34 31
v 190 38 36
v 191 46 18
v 192 31 38
v 193 35 25
v 194 27 41
v 195 61 13
v 196 24 14
v 197 40 19
v 198 38 30
v 199 24 11
v 200 33 19
v 201 58 41
v 202 58 29
v 203 30 37
v 204 60 5
v 205 47 8
v 206 34 42
v 207 46 31
v 208 58 3
v 209 61 24
v 210 70 53
v 211 68 5
v 212 32 30
v 213 41 30
v 214 27 42
v 215 44 15
v 216 43 7
v 217 73 53
v 218 84 56
v 219 70 41
v 220 62 45
v 221 76 51
v 222 56 51
v 223 41 45
v 224 43 58
v 225 40 37
v 226 49 15
v 227 28 68
v 228 24 80
v 229 100 58
v 230 53 69
v 231 39 26
v 232 81 20
v 233 46 1
v 234 26 62
v 235 106 4
v 236 75 1
v 237 80 29
v 238 41 66
v 239 70 76
v 240 78 34
v 241 84 2
v 242 79 22
v 243 110 23
v 244 57 37
v 245 34 50
v 246 68 16
v 247 62 83
v 248 90 81
v 249 60 87
v 250 111 87
v 251 75 65
v 252 108 34
v 253 111 38
v 254 77 101
v 255 25 9
v 256 33 92
v 257 48 21
v 258 24 86
v 259 86 47
v 260 126 16
v 261 86 21
v 262 128 6
v 263 48 7
v 264 132 77
v 265 105 19
v 266 32 67
v 267 69 85
v 268 66 42
v 269 23 3
v 270 69 78
v 271 33 63
v 272 65 25
v 273 87 54
v 274 109 77
v 275 86 39
v 276 66 20
v 277 46 110
v 278 115 105
v 279 96 56
v 280 28 111
v 281 146 26
v 282 55 81
v 283 53 10
v 284 105 26
v 285 49 12
v 286 22 3
v 287 129 40
v 288 90 75
v 289 27 90
v 290 115 145
v 291 28 2
v 292 77 82
v 293 143 116
v 294 155 80
v 295 110 69
v 296 144 33
v 297 39 35
v 298 95 11
v 299 80 124
v 300 66 36
v 301 77 146
v 302 167 5
v 303 71 41
v 304 29 54
v 305 51 156
v 306 120 79
v 307 54 135
v 308 165 42
v 309 39 12
v 310 111 135
v 311 22 149
v 312 179 40
v 313 122 88
v 314 30 118
v 315 91 79
v 316 184 40
v 317 74 131
v 318 86 32
v 319 22 1
v 320 22 1
v 321 22 1
v 322 24 3
v 323 26 3
v 324 23 4
v 325 26 6
v 326 25 1
v 327 29 9
v 328 26 8
v 329 28 8
v 330 32 12
v 331 29 10
v 332 31 13
v 333 31 4
v 334 29 13
v 335 27 8
v 336 37 8
v 337 22 4
v 338 30 10
v 339 42 16
v 340 36 20
v 341 33 4
v 342 36 6
v 343 46 19
v 344 43 15
v 345 43 16
v 346 44 28
v 347 25 1
v 348 39 30
v 349 39 22
v 350 45 17
v 351 48 27
v 352 39 1
v 353 52 12
v 354 49 2
v 355 52 21
v 356 54 12
v 357 35 1
v 358 40 31
v 359 23 1
v 360 39 18
v 361 29 27
v 362 22 19
v 363 28 42
v 364 29 36
v 365 37 32
v 366 41 13
v 367 39 49
v 368 25 19
v 369 30 37
v 370 33 40
v 371 48 47
v 372 60 20
v 373 39 54
v 374 51 21
v 375 58 50
v 376 47 51
v 377 52 39
v 378 64 52
v 379 25 7
v 380 65 18
v 381 36 42
v 382 81 45
v 383 62 65
v 384 72 34
v 385 31 8
v 386 37 52
v 387 79 4
v 388 66 34
v 389 47 20
v 390 90 16
v 391 66 20
v 392 26 19
v 393 40 5
v 394 48 59
v 395 49 11
v 396 48 14
v 397 87 43
v 398 30 2
v 399 24 5
v 400 48 53
v 401 67 38
v 402 27 34
v 403 89 21
v 404 104 84
v 405 98 22
v 406 69 22
v 407 42 32
v 408 91 48
v 409 79 79
v 410 30 6
v 411 58 64
v 412 80 11
v 413 63 17
v 414 33 19
